A_step,A_exx,A_eyy,A_exy,A_rix,A_riy,A_rjx,A_rjy,A_rr_absx,A_rr_absy,A_rr_abs,A_rr_minx,A_rr_miny,A_rr_min,A_rr_fixx,A_rr_fixy,A_rr_fix,A_v1x,A_v1y,A_v2x,A_v2y,A_Lx,A_Ly,A_Dxy,
 40.0000, 0.0000 , 0.4000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.5000, 0.0000 , 17.5000, 17.5000, 0.0000 , -2.5000, 2.5000 , 0.0000 , 7.5000 , 7.5000 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 41.0000, 0.0000 , 0.4100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.6250, 0.0000 , 17.6250, 17.6250, 0.0000 , -2.3750, 2.3750 , 0.0000 , 7.6250 , 7.6250 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 42.0000, 0.0000 , 0.4200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.7500, 0.0000 , 17.7500, 17.7500, 0.0000 , -2.2500, 2.2500 , 0.0000 , 7.7500 , 7.7500 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 43.0000, 0.0000 , 0.4300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.8750, 0.0000 , 17.8750, 17.8750, 0.0000 , -2.1250, 2.1250 , 0.0000 , 7.8750 , 7.8750 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 44.0000, 0.0000 , 0.4400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.0000, 0.0000 , 18.0000, 18.0000, 0.0000 , -2.0000, 2.0000 , 0.0000 , 8.0000 , 8.0000 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 45.0000, 0.0000 , 0.4500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.1250, 0.0000 , 18.1250, 18.1250, 0.0000 , -1.8750, 1.8750 , 0.0000 , 8.1250 , 8.1250 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 46.0000, 0.0000 , 0.4600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.2500, 0.0000 , 18.2500, 18.2500, 0.0000 , -1.7500, 1.7500 , 0.0000 , 8.2500 , 8.2500 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 47.0000, 0.0000 , 0.4700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.3750, 0.0000 , 18.3750, 18.3750, 0.0000 , -1.6250, 1.6250 , 0.0000 , 8.3750 , 8.3750 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 48.0000, 0.0000 , 0.4800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.5000, 0.0000 , 18.5000, 18.5000, 0.0000 , -1.5000, 1.5000 , 0.0000 , 8.5000 , 8.5000 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 49.0000, 0.0000 , 0.4900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.6250, 0.0000 , 18.6250, 18.6250, 0.0000 , -1.3750, 1.3750 , 0.0000 , 8.6250 , 8.6250 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 50.0000, 0.0000 , 0.5000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.7500, 0.0000 , 18.7500, 18.7500, 0.0000 , -1.2500, 1.2500 , 0.0000 , 8.7500 , 8.7500 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 51.0000, 0.0000 , 0.5100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.8750, 0.0000 , 18.8750, 18.8750, 0.0000 , -1.1250, 1.1250 , 0.0000 , 8.8750 , 8.8750 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 52.0000, 0.0000 , 0.5200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.0000, 0.0000 , 19.0000, 19.0000, 0.0000 , -1.0000, 1.0000 , 0.0000 , 9.0000 , 9.0000 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 53.0000, 0.0000 , 0.5300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.1250, 0.0000 , 19.1250, 19.1250, 0.0000 , -0.8750, 0.8750 , 0.0000 , 9.1250 , 9.1250 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 54.0000, 0.0000 , 0.5400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.2500, 0.0000 , 19.2500, 19.2500, 0.0000 , -0.7500, 0.7500 , 0.0000 , 9.2500 , 9.2500 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 55.0000, 0.0000 , 0.5500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.3750, 0.0000 , 19.3750, 19.3750, 0.0000 , -0.6250, 0.6250 , 0.0000 , 9.3750 , 9.3750 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 56.0000, 0.0000 , 0.5600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.5000, 0.0000 , 19.5000, 19.5000, 0.0000 , -0.5000, 0.5000 , 0.0000 , 9.5000 , 9.5000 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
