B_step,B_exx,B_eyy,B_exy,B_rix,B_riy,B_rjx,B_rjy,B_rr_absx,B_rr_absy,B_rr_abs,B_rr_minx,B_rr_miny,B_rr_min,B_rr_fixx,B_rr_fixy,B_rr_fix,B_v1x,B_v1y,B_v2x,B_v2y,B_Lx,B_Ly,B_Dxy,
 63.0000, 0.0000 , 0.6300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.3750, 0.0000 , 20.3750, 20.3750, 2.0000 , 0.3750 , 2.0349 , -4.0000, 10.3750, 11.1194, 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 64.0000, 0.0000 , 0.6400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.5000, 0.0000 , 20.5000, 20.5000, 2.0000 , 0.5000 , 2.0616 , -4.0000, 10.5000, 11.2361, 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 65.0000, 0.0000 , 0.6500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.6250, 0.0000 , 20.6250, 20.6250, 2.0000 , 0.6250 , 2.0954 , -4.0000, 10.6250, 11.3530, 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 66.0000, 0.0000 , 0.6600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.7500, 0.0000 , 20.7500, 20.7500, 2.0000 , 0.7500 , 2.1360 , -4.0000, 10.7500, 11.4701, 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 67.0000, 0.0000 , 0.6700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.8750, 0.0000 , 20.8750, 20.8750, 2.0000 , 0.8750 , 2.1830 , -4.0000, 10.8750, 11.5873, 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 68.0000, 0.0000 , 0.6800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.0000, 0.0000 , 21.0000, 21.0000, 2.0000 , 1.0000 , 2.2361 , -4.0000, 11.0000, 11.7047, 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 69.0000, 0.0000 , 0.6900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.1250, 0.0000 , 21.1250, 21.1250, 2.0000 , 1.1250 , 2.2947 , -4.0000, 11.1250, 11.8223, 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 70.0000, 0.0000 , 0.7000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.2500, 0.0000 , 21.2500, 21.2500, 2.0000 , 1.2500 , 2.3585 , -4.0000, 11.2500, 11.9400, 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 71.0000, 0.0000 , 0.7100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.3750, 0.0000 , 21.3750, 21.3750, 2.0000 , 1.3750 , 2.4271 , -4.0000, 11.3750, 12.0578, 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 72.0000, 0.0000 , 0.7200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.5000, 0.0000 , 21.5000, 21.5000, 2.0000 , 1.5000 , 2.5000 , -4.0000, 11.5000, 12.1758, 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
