D_step,D_exx,D_eyy,D_exy,D_rix,D_riy,D_rjx,D_rjy,D_rr_absx,D_rr_absy,D_rr_abs,D_rr_minx,D_rr_miny,D_rr_min,D_rr_fixx,D_rr_fixy,D_rr_fix,D_v1x,D_v1y,D_v2x,D_v2y,D_Lx,D_Ly,D_Dxy,
 64.0000, 0.0000 , 0.6400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.5000, 0.0000 , 20.5000, 20.5000, 0.0000 , 4.1000 , 4.1000 , 0.0000 , 4.1000 , 4.1000 , 10.0000, 0.0000 , 0.0000 , 16.4000, 10.0000, 16.4000, 0.0000 ,
 65.0000, 0.0000 , 0.6500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.6250, 0.0000 , 20.6250, 20.6250, 0.0000 , 4.1250 , 4.1250 , 0.0000 , 4.1250 , 4.1250 , 10.0000, 0.0000 , 0.0000 , 16.5000, 10.0000, 16.5000, 0.0000 ,
 66.0000, 0.0000 , 0.6600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.7500, 0.0000 , 20.7500, 20.7500, 0.0000 , 4.1500 , 4.1500 , 0.0000 , 4.1500 , 4.1500 , 10.0000, 0.0000 , 0.0000 , 16.6000, 10.0000, 16.6000, 0.0000 ,
 67.0000, 0.0000 , 0.6700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.8750, 0.0000 , 20.8750, 20.8750, 0.0000 , 4.1750 , 4.1750 , 0.0000 , 4.1750 , 4.1750 , 10.0000, 0.0000 , 0.0000 , 16.7000, 10.0000, 16.7000, 0.0000 ,
 68.0000, 0.0000 , 0.6800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.0000, 0.0000 , 21.0000, 21.0000, 0.0000 , 4.2000 , 4.2000 , 0.0000 , 4.2000 , 4.2000 , 10.0000, 0.0000 , 0.0000 , 16.8000, 10.0000, 16.8000, 0.0000 ,
 69.0000, 0.0000 , 0.6900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.1250, 0.0000 , 21.1250, 21.1250, 0.0000 , 4.2250 , 4.2250 , 0.0000 , 4.2250 , 4.2250 , 10.0000, 0.0000 , 0.0000 , 16.9000, 10.0000, 16.9000, 0.0000 ,
 70.0000, 0.0000 , 0.7000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.2500, 0.0000 , 21.2500, 21.2500, 0.0000 , 4.2500 , 4.2500 , 0.0000 , 4.2500 , 4.2500 , 10.0000, 0.0000 , 0.0000 , 17.0000, 10.0000, 17.0000, 0.0000 ,
 71.0000, 0.0000 , 0.7100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.3750, 0.0000 , 21.3750, 21.3750, 0.0000 , 4.2750 , 4.2750 , 0.0000 , 4.2750 , 4.2750 , 10.0000, 0.0000 , 0.0000 , 17.1000, 10.0000, 17.1000, 0.0000 ,
 72.0000, 0.0000 , 0.7200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.5000, 0.0000 , 21.5000, 21.5000, 0.0000 , 4.3000 , 4.3000 , 0.0000 , 4.3000 , 4.3000 , 10.0000, 0.0000 , 0.0000 , 17.2000, 10.0000, 17.2000, 0.0000 ,
 73.0000, 0.0000 , 0.7300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.6250, 0.0000 , 21.6250, 21.6250, 0.0000 , 4.3250 , 4.3250 , 0.0000 , 4.3250 , 4.3250 , 10.0000, 0.0000 , 0.0000 , 17.3000, 10.0000, 17.3000, 0.0000 ,
