C_step,C_exx,C_eyy,C_exy,C_rix,C_riy,C_rjx,C_rjy,C_rr_absx,C_rr_absy,C_rr_abs,C_rr_minx,C_rr_miny,C_rr_min,C_rr_fixx,C_rr_fixy,C_rr_fix,C_v1x,C_v1y,C_v2x,C_v2y,C_Lx,C_Ly,C_Dxy,
 66.0000, 0.0000 , 0.6600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -4.1000, 4.1000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 16.6000, 10.0000, 16.6000, 0.0000 ,
 67.0000, 0.0000 , 0.6700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -4.2000, 4.2000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 16.7000, 10.0000, 16.7000, 0.0000 ,
 68.0000, 0.0000 , 0.6800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -4.3000, 4.3000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 16.8000, 10.0000, 16.8000, 0.0000 ,
 69.0000, 0.0000 , 0.6900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -4.4000, 4.4000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 16.9000, 10.0000, 16.9000, 0.0000 ,
 70.0000, 0.0000 , 0.7000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -4.5000, 4.5000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 17.0000, 10.0000, 17.0000, 0.0000 ,
 71.0000, 0.0000 , 0.7100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -4.6000, 4.6000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 17.1000, 10.0000, 17.1000, 0.0000 ,
 72.0000, 0.0000 , 0.7200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -4.7000, 4.7000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 17.2000, 10.0000, 17.2000, 0.0000 ,
 73.0000, 0.0000 , 0.7300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -4.8000, 4.8000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 17.3000, 10.0000, 17.3000, 0.0000 ,
 74.0000, 0.0000 , 0.7400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -4.9000, 4.9000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 17.4000, 10.0000, 17.4000, 0.0000 ,
 75.0000, 0.0000 , 0.7500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -5.0000, 5.0000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 17.5000, 10.0000, 17.5000, 0.0000 ,
