F_step,F_exx,F_eyy,F_exy,F_rix,F_riy,F_rjx,F_rjy,F_rr_absx,F_rr_absy,F_rr_abs,F_rr_minx,F_rr_miny,F_rr_min,F_rr_fixx,F_rr_fixy,F_rr_fix,F_v1x,F_v1y,F_v2x,F_v2y,F_Lx,F_Ly,F_Dxy,
 61.0000, 0.0000 , 0.0000 , 0.6100 , 0.0000 , 0.0000 , 7.6250 , 12.5000, 7.6250 , 12.5000, 14.6421, 1.5250 , 2.5000 , 2.9284 , 1.5250 , 2.5000 , 2.9284 , 10.0000, 0.0000 , -3.9000, 10.0000, 10.0000, 10.0000, -3.9000,
 62.0000, 0.0000 , 0.0000 , 0.6200 , 0.0000 , 0.0000 , 7.7500 , 12.5000, 7.7500 , 12.5000, 14.7076, 1.5500 , 2.5000 , 2.9415 , 1.5500 , 2.5000 , 2.9415 , 10.0000, 0.0000 , -3.8000, 10.0000, 10.0000, 10.0000, -3.8000,
 63.0000, 0.0000 , 0.0000 , 0.6300 , 0.0000 , 0.0000 , 7.8750 , 12.5000, 7.8750 , 12.5000, 14.7738, 1.5750 , 2.5000 , 2.9548 , 1.5750 , 2.5000 , 2.9548 , 10.0000, 0.0000 , -3.7000, 10.0000, 10.0000, 10.0000, -3.7000,
 64.0000, 0.0000 , 0.0000 , 0.6400 , 0.0000 , 0.0000 , 8.0000 , 12.5000, 8.0000 , 12.5000, 14.8408, 1.6000 , 2.5000 , 2.9682 , 1.6000 , 2.5000 , 2.9682 , 10.0000, 0.0000 , -3.6000, 10.0000, 10.0000, 10.0000, -3.6000,
 65.0000, 0.0000 , 0.0000 , 0.6500 , 0.0000 , 0.0000 , 8.1250 , 12.5000, 8.1250 , 12.5000, 14.9086, 1.6250 , 2.5000 , 2.9817 , 1.6250 , 2.5000 , 2.9817 , 10.0000, 0.0000 , -3.5000, 10.0000, 10.0000, 10.0000, -3.5000,
 66.0000, 0.0000 , 0.0000 , 0.6600 , 0.0000 , 0.0000 , 8.2500 , 12.5000, 8.2500 , 12.5000, 14.9771, 1.6500 , 2.5000 , 2.9954 , 1.6500 , 2.5000 , 2.9954 , 10.0000, 0.0000 , -3.4000, 10.0000, 10.0000, 10.0000, -3.4000,
 67.0000, 0.0000 , 0.0000 , 0.6700 , 0.0000 , 0.0000 , 8.3750 , 12.5000, 8.3750 , 12.5000, 15.0463, 1.6750 , 2.5000 , 3.0093 , 1.6750 , 2.5000 , 3.0093 , 10.0000, 0.0000 , -3.3000, 10.0000, 10.0000, 10.0000, -3.3000,
 68.0000, 0.0000 , 0.0000 , 0.6800 , 0.0000 , 0.0000 , 8.5000 , 12.5000, 8.5000 , 12.5000, 15.1162, 1.7000 , 2.5000 , 3.0232 , 1.7000 , 2.5000 , 3.0232 , 10.0000, 0.0000 , -3.2000, 10.0000, 10.0000, 10.0000, -3.2000,
 69.0000, 0.0000 , 0.0000 , 0.6900 , 0.0000 , 0.0000 , 8.6250 , 12.5000, 8.6250 , 12.5000, 15.1869, 1.7250 , 2.5000 , 3.0374 , 1.7250 , 2.5000 , 3.0374 , 10.0000, 0.0000 , -3.1000, 10.0000, 10.0000, 10.0000, -3.1000,
 70.0000, 0.0000 , 0.0000 , 0.7000 , 0.0000 , 0.0000 , 8.7500 , 12.5000, 8.7500 , 12.5000, 15.2582, 1.7500 , 2.5000 , 3.0516 , 1.7500 , 2.5000 , 3.0516 , 10.0000, 0.0000 , -3.0000, 10.0000, 10.0000, 10.0000, -3.0000,
 71.0000, 0.0000 , 0.0000 , 0.7100 , 0.0000 , 0.0000 , 8.8750 , 12.5000, 8.8750 , 12.5000, 15.3302, 1.7750 , 2.5000 , 3.0660 , 1.7750 , 2.5000 , 3.0660 , 10.0000, 0.0000 , -2.9000, 10.0000, 10.0000, 10.0000, -2.9000,
 72.0000, 0.0000 , 0.0000 , 0.7200 , 0.0000 , 0.0000 , 9.0000 , 12.5000, 9.0000 , 12.5000, 15.4029, 1.8000 , 2.5000 , 3.0806 , 1.8000 , 2.5000 , 3.0806 , 10.0000, 0.0000 , -2.8000, 10.0000, 10.0000, 10.0000, -2.8000,
